,startTime,open,high,low,close,volume,endTime,quoteAssetVolume,trades,takerBaseVolume,takerQuoteVolume,timestamp
38,1637163240000,59390.92,59457.06,59390.92,59434.32,0.299804,0,17822.04835414,5,0,0,2021-11-17 15:34:00
39,1637163300000,59434.32,59503.97,59434.32,59499.8,0.031698,0,1886.10361085,6,0,0,2021-11-17 15:35:00
40,1637163360000,59499.8,59516.33,59499.8,59516.33,0.159465,0,9490.05768798,7,0,0,2021-11-17 15:36:00
41,1637163420000,59516.33,59516.34,59485.98,59486,0.088272,0,5253.28651165,7,0,0,2021-11-17 15:37:00
42,1637163480000,59486,59512.4,59482.24,59488.24,0.602366,0,35844.59923262,10,0,0,2021-11-17 15:38:00
43,1637163540000,59488.24,59595.79,59488.24,59590.18,0.301536,0,17959.9419558,15,0,0,2021-11-17 15:39:00
44,1637163600000,59590.18,59590.18,59563.39,59568.59,0.213116,0,12697.73859557,13,0,0,2021-11-17 15:40:00
45,1637163660000,59568.59,59635.97,59567.41,59635.96,0.557936,0,33253.25056583,14,0,0,2021-11-17 15:41:00
46,1637163720000,59635.96,59657.45,59632.49,59654.35,0.089475,0,5336.16595518,7,0,0,2021-11-17 15:42:00
47,1637163780000,59654.35,59654.35,59573.34,59585.89,0.138657,0,8265.24873737,8,0,0,2021-11-17 15:43:00
48,1637163840000,59585.89,59585.89,59516.8,59522,0.084479,0,5030.02318545,6,0,0,2021-11-17 15:44:00
49,1637163900000,59522,59569.71,59522,59542.42,0.238039,0,14174.55810539,12,0,0,2021-11-17 15:45:00
50,1637163960000,59542.42,59546.14,59526.31,59526.31,0.085332,0,5079.98899995,4,0,0,2021-11-17 15:46:00
51,1637164020000,59526.31,59608.32,59526.31,59598.7,0.169148,0,10079.58264561,7,0,0,2021-11-17 15:47:00
52,1637164080000,59598.7,59599.6,59575.69,59592.21,0.189855,0,11312.97261572,6,0,0,2021-11-17 15:48:00
53,1637164140000,59592.21,59606.05,59586.12,59606.05,0.051989,0,3097.82883735,4,0,0,2021-11-17 15:49:00
54,1637164200000,59606.05,59642.2,59606.05,59642.2,0.097322,0,5801.68525902,7,0,0,2021-11-17 15:50:00
55,1637164260000,59642.2,59655.27,59607.33,59630.91,0.291201,0,17364.21426051,15,0,0,2021-11-17 15:51:00
